Order_Item_ID,Order_ID,Product_ID,Quantity,Discount,Order_Date,Customer_ID,Sales_Channel,Payment_Method,Region_ID,Product_Name,Category,Sub_Category,Unit_Cost,List_Price,Region,Revenue,Cost,Profit,Profit_Margin
ITEM0000001,ORD009042,PROD0102,2,0.05,2022-05-21,CUST04933,Online,PayPal,R02,Monitors Product 102,Technology,Monitors,591.01,1029.91,South,1956.829,1182.02,774.809,0.3959513069358641
ITEM0000002,ORD020217,PROD0064,2,0.15,2025-05-04,CUST02364,Retail,Credit Card,R04,Binders Product 064,Office Supplies,Binders,35.55,62.09,West,105.553,71.1,34.453,0.3264047445359204
ITEM0000003,ORD012919,PROD0004,3,0.3,2023-10-05,CUST00853,Retail,Credit Card,R05,Laptops Product 004,Technology,Laptops,218.07,336.74,Central,707.154,654.21,52.94399999999996,0.07486912327442108
ITEM0000004,ORD015724,PROD0168,2,0.1,2023-04-16,CUST01937,Online,Credit Card,R02,Tables Product 168,Furniture,Tables,204.07,425.03,South,765.054,408.14,356.914,0.4665213174494872
ITEM0000005,ORD029803,PROD0070,1,0.15,2022-08-26,CUST00959,Online,Credit Card,R04,Storage Product 070,Furniture,Storage,545.31,1187.1,West,1009.0349999999999,545.31,463.7249999999999,0.45957276011238457
ITEM0000006,ORD005146,PROD0054,4,0.0,2025-09-06,CUST04214,Online,Credit Card,R03,Paper Product 054,Office Supplies,Paper,526.45,1116.87,East,4467.48,2105.8,2361.6799999999994,0.5286380688889485
ITEM0000007,ORD026877,PROD0028,2,0.2,2025-04-17,CUST03663,Retail,Bank Transfer,R01,Storage Product 028,Furniture,Storage,766.51,1008.49,North,1613.584,1533.02,80.56400000000008,0.04992860613392304
ITEM0000008,ORD000708,PROD0130,1,0.1,2022-02-16,CUST00619,Retail,Bank Transfer,R03,Monitors Product 130,Technology,Monitors,717.12,966.38,East,869.742,717.12,152.62199999999996,0.17547962499223904
ITEM0000009,ORD026637,PROD0043,4,0.3,2024-05-17,CUST02558,Retail,PayPal,R03,Storage Product 043,Furniture,Storage,321.66,701.71,East,1964.788,1286.64,678.1479999999999,0.34515072364041305
ITEM0000010,ORD001803,PROD0019,3,0.2,2025-01-29,CUST04368,Retail,Debit Card,R04,Kitchen Product 019,Home,Kitchen,171.3,309.69,West,743.256,513.9000000000001,229.35599999999988,0.30858277632471165
ITEM0000011,ORD018542,PROD0174,4,0.1,2022-11-05,CUST03629,Online,Credit Card,R02,Binders Product 174,Office Supplies,Binders,429.06,723.55,South,2604.7799999999997,1716.24,888.5399999999997,0.34111901964849234
ITEM0000012,ORD012467,PROD0144,5,0.1,2025-02-16,CUST01357,Retail,Debit Card,R03,Laptops Product 144,Technology,Laptops,463.14,564.55,East,2540.475,2315.7,224.7750000000001,0.08847754848994778
ITEM0000013,ORD020150,PROD0089,4,0.0,2025-02-21,CUST02597,Retail,Credit Card,R02,Lighting Product 089,Home,Lighting,106.16,128.96,South,515.84,424.64,91.20000000000005,0.17679900744416882
ITEM0000014,ORD005528,PROD0161,8,0.3,2024-07-17,CUST00951,Retail,Debit Card,R01,Tables Product 161,Furniture,Tables,269.39,347.33,North,1945.0479999999998,2155.12,-210.07200000000012,-0.10800350428369898
ITEM0000015,ORD006038,PROD0115,2,0.0,2022-05-13,CUST03608,Retail,Bank Transfer,R02,Phones Product 115,Technology,Phones,235.33,328.15,South,656.3,470.66,185.63999999999993,0.2828584488800852
ITEM0000016,ORD024922,PROD0028,1,0.0,2022-05-21,CUST01974,Retail,Credit Card,R03,Storage Product 028,Furniture,Storage,766.51,1008.49,East,1008.49,766.51,241.98000000000002,0.23994288490713842
ITEM0000017,ORD020243,PROD0088,8,0.1,2024-05-30,CUST01353,Retail,Credit Card,R01,Laptops Product 088,Technology,Laptops,542.25,679.4,North,4891.68,4338.0,553.6800000000003,0.11318810715337067
ITEM0000018,ORD015454,PROD0092,4,0.2,2023-09-03,CUST04943,Online,PayPal,R01,Laptops Product 092,Technology,Laptops,603.8,833.26,North,2666.4320000000002,2415.2,251.23200000000043,0.09422029138564209
ITEM0000019,ORD013683,PROD0088,1,0.05,2024-05-02,CUST01348,Online,Debit Card,R05,Laptops Product 088,Technology,Laptops,542.25,679.4,Central,645.43,542.25,103.17999999999995,0.15986241730319314
ITEM0000020,ORD018389,PROD0031,1,0.15,2025-06-13,CUST02357,Retail,Bank Transfer,R05,Desks Product 031,Furniture,Desks,219.15,317.38,Central,269.77299999999997,219.15,50.62299999999996,0.1876503578934881
ITEM0000021,ORD007072,PROD0189,2,0.05,2023-12-07,CUST02033,Online,Credit Card,R03,Stationery Product 189,Office Supplies,Stationery,792.55,1132.23,East,2151.237,1585.1,566.1370000000002,0.2631681214110766
